查看当前所在目录的命令是什么？|pwd
查看当前目录下文件和文件夹的命令是什么？|ls
切换目录的命令是什么？|cd
创建目录的命令是什么？|mkdir
创建空文件的命令是什么？|touch
查看文件内容的命令是什么？|cat
复制文件的命令是什么？|cp
移动文件或重命名文件的命令是什么？|mv
删除文件的命令是什么？|rm
显示当前日期和时间的命令是什么？|date
查看当前登录用户的命令是什么？|whoami
查看系统内核信息的命令是什么？|uname
查找文件内容中指定关键词的命令是什么？|grep
统计文件行数、单词数和字符数的命令是什么？|wc
对文本内容进行排序的命令是什么？|sort
去除相邻重复行的命令是什么？|uniq
查看文件前几行内容的命令是什么？|head
查看文件后几行内容的命令是什么？|tail
查看磁盘空间使用情况的命令是什么？|df
查看内存使用情况的命令是什么？|free
查看当前进程信息的命令是什么？|ps
修改文件权限的命令是什么？|chmod
查看历史命令的命令是什么？|history
清屏的命令是什么？|clear
查看命令帮助文档的命令是什么？|man
